28 sept. 2020 à 11:58:04
RngSeed: 1601287081307
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
645.0, 21.0, 304.0
646.0, 17.0, 302.0
647.0, 22.0, 298.0
648.0, 25.0, 295.0
649.0, 21.0, 293.0
650.0, 21.0, 293.0
650.0, 17.0, 296.0
651.0, 22.0, 293.0
652.0, 17.0, 294.0
653.0, 16.0, 290.0
654.0, 22.0, 294.0
655.0, 22.0, 294.0
655.0, 23.0, 295.0
656.0, 25.0, 297.0
657.0, 20.0, 296.0
658.0, 20.0, 300.0
659.0, 20.0, 302.0
660.0, 24.0, 296.0
660.0, 24.0, 296.0
661.0, 15.0, 289.0
662.0, 19.0, 290.0
663.0, 23.0, 292.0
664.0, 18.0, 295.0
665.0, 18.0, 295.0
665.0, 20.0, 295.0
666.0, 18.0, 293.0
667.0, 21.0, 291.0
668.0, 18.0, 294.0
669.0, 22.0, 295.0
670.0, 18.0, 287.0
670.0, 18.0, 287.0
671.0, 23.0, 283.0
672.0, 26.0, 286.0
673.0, 23.0, 285.0
674.0, 25.0, 281.0
675.0, 23.0, 285.0
675.0, 23.0, 285.0
676.0, 22.0, 283.0
677.0, 20.0, 280.0
678.0, 18.0, 284.0
679.0, 25.0, 283.0
680.0, 32.0, 286.0
680.0, 32.0, 286.0
681.0, 35.0, 287.0
682.0, 28.0, 291.0
683.0, 23.0, 300.0
684.0, 21.0, 297.0
685.0, 20.0, 292.0
685.0, 20.0, 292.0
686.0, 20.0, 291.0
687.0, 24.0, 289.0
688.0, 25.0, 293.0
689.0, 18.0, 299.0
690.0, 18.0, 299.0
690.0, 19.0, 302.0
691.0, 16.0, 299.0
692.0, 23.0, 300.0
693.0, 17.0, 298.0
694.0, 18.0, 302.0
695.0, 20.0, 300.0
695.0, 20.0, 300.0
696.0, 26.0, 299.0
697.0, 20.0, 294.0
698.0, 20.0, 297.0
699.0, 20.0, 300.0
700.0, 20.0, 300.0
700.0, 20.0, 299.0
701.0, 24.0, 303.0
702.0, 18.0, 302.0
703.0, 23.0, 303.0
704.0, 23.0, 299.0
705.0, 25.0, 297.0
